price,bathrooms_group,bedrooms_group,sqft_living,sqft_lot,floors_group,waterfront,view_group,condition_group,city,house_age,is_renovated,year_since_renovation,zipcode,sqft_above,sqft_basement,yr_built,yr_renovated,floors,bedrooms,bathrooms,view,condition
650000,2,4,1820,5000,1.5,0,Some View,3,Seattle,80,1,15,98115,1640,180,1945,2010,1.5,4,2,1,3
625000,3,4,2820,8408,2,0,No View,3,Shoreline,11,0,0,98155,2820,0,2014,0,2,4,2.5,0,3
400000,3,4,3630,42884,1.5,0,No View,3,Auburn,46,1,11,98092,2300,1330,1979,2014,1.5,4,2.5,0,3
604000,3,3,3240,33151,2,0,Some View,3,Federal Way,30,0,0,98023,3240,0,1995,0,2,3,2.5,2,3
440000,1_or_fewer,2,800,4850,1,0,No View,4,Seattle,81,0,0,98107,800,0,1944,0,1,2,1,0,4
287200,3,3,1850,19966,1,0,No View,4,Maple Valley,33,0,0,98038,1090,760,1992,0,1,3,3,0,4
403000,2,3,1960,13100,1,0,Some View,5,Normandy Park,68,0,0,98166,1650,310,1957,0,1,3,2,2,5
750000,3,3,2390,6550,1,0,Some View,4,Seattle,70,1,16,98116,1440,950,1955,2009,1,3,2.5,2,4
335000,3,3,1580,16215,1,0,No View,4,Fall City,47,1,25,98024,1580,0,1978,2000,1,3,2.25,0,4
260000,2,4,1480,8625,1,0,No View,4,Renton,51,0,0,98055,1480,0,1974,0,1,4,2,0,4
308500,1_or_fewer,2,850,6174,1,0,No View,4,Shoreline,75,1,42,98155,850,0,1950,1983,1,2,1,0,4
439950,3,3,1770,2875,2,0,No View,3,Seattle,35,1,16,98116,1770,0,1990,2009,2,3,2.5,0,3
235000,1_or_fewer,2,1210,9400,1,0,No View,3,Seattle,76,0,0,98106,1210,0,1949,0,1,2,1,0,2
315000,1_or_fewer,3,1160,9180,1,0,No View,3,Woodinville,57,1,28,98077,1160,0,1968,1997,1,3,1,0,3
437500,3,3,1970,35100,2,0,No View,4,Issaquah,48,0,0,98027,1970,0,1977,0,2,3,2.25,0,4
407500,3,3,1930,10460,2,0,No View,3,Renton,29,0,0,98059,1930,0,1996,0,2,3,2.5,0,3
445700,3,3,1270,1180,3,0,No View,3,Seattle,24,0,0,98107,1270,0,2001,0,3,3,2.5,0,3
838000,3,4,3310,42998,2,0,No View,3,Redmond,24,0,0,98052,3310,0,2001,0,2,4,2.5,0,3
630000,3,4,2710,37277,2,0,No View,3,Issaquah,25,0,0,98027,2710,0,2000,0,2,4,2.75,0,3
550000,2,3,2910,35200,1.5,0,No View,3,Sammamish,46,1,11,98075,2910,0,1979,2014,1.5,3,1.75,0,3
805000,2,3,2710,4500,1.5,0,No View,4,Seattle,96,0,0,98115,1880,830,1929,0,1.5,3,2,0,4
284000,2,3,1800,23103,1,0,No View,3,Carnation,57,1,28,98014,1800,0,1968,1997,1,3,1.75,0,3
470000,3,5,2210,9655,1,0,No View,3,Bothell,49,0,0,98011,1460,750,1976,0,1,5,2.5,0,3
430000,2,4,1920,10000,1,0,No View,4,Bellevue,71,1,46,98006,1070,850,1954,1979,1,4,1.5,0,4
491500,2,4,2190,125452,1,0,Some View,3,Auburn,57,1,28,98092,2190,0,1968,1997,1,4,1.75,2,3
785000,4,5,3660,11995,2,0,Some View,3,Snoqualmie,19,0,0,98065,3660,0,2006,0,2,5,3.25,2,3
385000,4,3,1320,1327,2,0,No View,3,Seattle,17,0,0,98199,1040,280,2008,0,2,3,3.25,0,3
295000,3,2,1630,1368,2,0,No View,3,Seattle,16,0,0,98106,1280,350,2009,0,2,2,2.5,0,3
555000,3,4,3310,6500,2,0,No View,3,Snoqualmie,13,1,113,98065,3310,0,2012,1912,2,4,2.5,0,3
459990,3,3,2680,5539,2,0,No View,3,North Bend,12,1,102,98045,2680,0,2013,1923,2,3,2.5,0,3
625000,4,4,2730,54014,1,0,No View,3,Renton,18,0,0,98059,1560,1170,2007,0,1,4,3.25,0,3
300000,3,3,2540,5050,2,0,No View,3,Kent,19,0,0,98042,2540,0,2006,0,2,3,2.5,0,3
625000,3,4,2920,6605,2,0,No View,3,Renton,13,1,113,98059,2920,0,2012,1912,2,4,2.75,0,3
553000,1_or_fewer,2,900,5000,1,0,No View,3,Seattle,81,0,0,98117,900,0,1944,0,1,2,1,0,3
379880,3,3,1650,14054,1,0,No View,4,Issaquah,39,0,0,98027,1130,520,1986,0,1,3,2.5,0,4
310000,1_or_fewer,3,1010,9945,1,0,No View,4,Snoqualmie,52,0,0,98065,1010,0,1973,0,1,3,1,0,4
775000,3,2,2680,7392,1,0,No View,3,Redmond,21,1,22,98053,2680,0,2004,2003,1,2,2.5,0,3
365000,3,3,2200,7350,1,0,No View,5,Renton,37,0,0,98058,1570,630,1988,0,1,3,2.5,0,5
331950,3,4,2530,9933,2,0,Some View,3,Auburn,35,1,16,98092,2010,520,1990,2009,2,4,2.5,2,3
783500,3,3,2850,7130,2,0,No View,3,Seattle,45,0,0,98122,1990,860,1980,0,2,3,2.5,0,3
628000,2,4,2280,6010,1,0,No View,3,Seattle,125,1,20,98122,1140,1140,1900,2005,1,4,2,0,3
560000,3,3,1900,8744,2,0,No View,3,Sammamish,38,1,25,98074,1900,0,1987,2000,2,3,2.5,0,3
900000,1_or_fewer,3,1330,77972,1,0,No View,3,Kirkland,97,1,71,98033,1330,0,1928,1954,1,3,1,0,3
531000,3,2,1270,1175,2,0,No View,3,Seattle,25,0,0,98103,1110,160,2000,0,2,2,3,0,3
831000,3,4,2170,4000,2,0,No View,4,Seattle,43,1,14,98112,1610,560,1982,2011,2,4,3,0,4
780000,3,4,2730,10281,2,0,Some View,3,Sammamish,29,0,0,98074,2730,0,1996,0,2,4,2.5,2,3
755000,3,4,2120,10202,1,0,No View,4,Bellevue,65,1,24,98005,1620,500,1960,2001,1,4,2.5,0,4
705380,3,3,2490,4343,2,0,No View,3,Issaquah,22,0,0,98029,2490,0,2003,0,2,3,2.5,0,3
627000,3,4,1990,7712,1,0,No View,3,Issaquah,52,1,12,98027,1210,780,1973,2013,1,4,2.25,0,3
865000,3,4,3690,9892,2,0,No View,3,Sammamish,27,1,19,98075,3690,0,1998,2006,2,4,3,0,3
580000,1_or_fewer,2,2540,7000,1,0,No View,5,Seattle,83,0,0,98118,1320,1220,1942,0,1,2,1,0,5
410000,3,3,1800,36704,1,0,No View,4,Issaquah,47,1,25,98027,1360,440,1978,2000,1,3,2.25,0,4
485000,3,4,2340,7048,1,0,No View,4,Kirkland,46,0,0,98034,1340,1000,1979,0,1,4,3,0,4
400000,2,2,2110,9519,1,0,No View,3,Shoreline,77,0,0,98155,2110,0,1948,0,1,2,1.75,0,2
549000,1_or_fewer,2,1140,5400,1,0,No View,5,Seattle,117,0,0,98112,1140,0,1908,0,1,2,1,0,5
620000,2,3,1480,2185,3,0,No View,3,Kirkland,20,0,0,98033,1480,0,2005,0,2.5,3,1.75,0,3
405000,3,2,1410,1240,2,0,No View,3,Seattle,19,0,0,98136,1140,270,2006,0,2,2,3,0,3
232000,1_or_fewer,2,1200,8063,1,0,No View,4,Des Moines,67,1,53,98198,1200,0,1958,1972,1,2,1,0,4
800866,3,5,3180,13806,2,0,No View,4,Kirkland,35,0,0,98033,3180,0,1990,0,2,5,2.5,0,4
650000,2,3,2160,9000,1,0,Some View,4,Seattle,76,1,40,98177,1400,760,1949,1985,1,3,1.5,2,4
823000,2,5,2920,5000,3,0,No View,4,Seattle,117,0,0,98122,2780,140,1908,0,2.5,6,1.75,0,4
770000,2,3,2350,5700,1.5,0,No View,4,Seattle,86,1,36,98112,1810,540,1939,1989,1.5,3,2,0,4
524000,2,3,1560,5520,1,0,No View,4,Seattle,81,0,0,98199,780,780,1944,0,1,3,1.75,0,4
541125,3,5,2740,8426,1,0,No View,4,Bellevue,65,1,24,98006,1370,1370,1960,2001,1,5,2.75,0,4
670000,3,3,1680,2000,3,0,No View,3,Seattle,116,1,27,98105,1680,0,1909,1998,3,3,2.5,0,3
384900,3,5,3090,12750,1,0,No View,3,Federal Way,57,1,28,98023,1750,1340,1968,1997,1,5,2.5,0,3
406100,3,3,1410,1332,3,0,No View,3,Seattle,20,0,0,98103,1410,0,2005,0,3,3,2.25,0,3
1395000,4,5,4010,8510,2,0,Some View,5,Seattle,54,0,0,98105,2850,1160,1971,0,2,5,3.5,1,5
736500,3,4,3180,21904,2,0,Great View,3,Renton,25,0,0,98059,3180,0,2000,0,2,4,2.5,3,3
570000,3,3,2010,6000,1,0,No View,3,Redmond,50,0,0,98052,1330,680,1975,0,1,3,2.25,0,3
787000,2,3,1330,7500,1,0,No View,3,Bellevue,64,1,21,98004,1330,0,1961,2004,1,3,1.75,0,3
328000,3,4,2370,6500,2,0,No View,3,Auburn,27,1,19,98092,2370,0,1998,2006,2,4,2.5,0,3
435000,2,5,1840,9240,1,0,No View,4,Seattle,83,1,67,98133,1540,300,1942,1958,1,5,2,0,4
499000,3,4,2910,6479,2,0,No View,3,Snoqualmie,19,0,0,98065,2910,0,2006,0,2,4,2.5,0,3
501000,1_or_fewer,4,2070,7519,1,0,No View,3,Bellevue,62,1,17,98008,1160,910,1963,2008,1,4,1,0,3
1090000,3,4,4340,141570,3,0,No View,3,Redmond,33,0,0,98053,4340,0,1992,0,2.5,4,2.5,0,3
400000,1_or_fewer,2,840,5510,1,0,No View,3,Seattle,70,1,20,98136,840,0,1955,2005,1,2,1,0,3
220000,2,4,1240,9600,1,0,No View,3,Federal Way,54,0,0,98023,1240,0,1971,0,1,4,1.5,0,3
657100,1_or_fewer,4,1390,4240,1,0,No View,3,Seattle,101,1,14,98103,1050,340,1924,2011,1,4,1,0,3
309950,3,4,2310,5000,2,0,No View,3,Maple Valley,19,0,0,98038,2310,0,2006,0,2,4,2.75,0,3
300000,2,3,1050,10072,1,0,No View,3,Duvall,39,0,0,98019,1050,0,1986,0,1,3,2,0,3
525888,2,5,2550,71874,1,0,No View,5,Issaquah,65,0,0,98027,1810,740,1960,0,1,5,1.75,0,5
740000,2,4,2010,3600,1.5,0,No View,3,Seattle,123,0,0,98119,2010,0,1902,0,1.5,4,1.75,0,3
340000,1_or_fewer,5,1120,9022,1.5,0,No View,4,Kirkland,63,0,0,98034,1120,0,1962,0,1.5,5,1,0,4
398750,3,3,2230,4000,2,0,No View,3,Seattle,71,1,20,98144,2230,0,1954,2005,2,3,2.5,0,3
206000,1_or_fewer,2,810,7158,1,0,No View,5,Burien,81,0,0,98168,810,0,1944,0,1,2,1,0,5
1030000,3,5,3190,16920,1,0,Great View,3,Bellevue,49,0,0,98006,1690,1500,1976,0,1,5,2.75,3,3
600000,2,3,1670,39639,1,0,No View,4,Sammamish,49,1,33,98075,1670,0,1976,1992,1,3,1.75,0,4
379950,2,4,1970,9389,1,0,No View,5,Shoreline,65,0,0,98133,1140,830,1960,0,1,4,1.75,0,5
287000,1_or_fewer,3,1450,6000,1,0,No View,4,Seattle,72,1,42,98118,1450,0,1953,1983,1,3,1,0,4
2280000,5+,5,13540,307752,3,0,Great View,3,Redmond,26,0,0,98053,9410,4130,1999,0,3,7,8,4,3
309950,3,3,1880,7838,2,0,No View,3,Renton,31,0,0,98055,1880,0,1994,0,2,3,2.5,0,3
600000,2,3,1880,6360,1,0,No View,4,Seattle,80,0,0,98115,1040,840,1945,0,1,3,1.75,0,4
418000,2,3,1410,6030,1.5,0,No View,4,Seattle,95,0,0,98103,1410,0,1930,0,1.5,3,2,0,4
449250,2,4,1480,3844,1.5,0,No View,5,Seattle,97,1,55,98133,1480,0,1928,1970,1.5,4,2,0,5
329950,1_or_fewer,2,1140,5250,1.5,0,No View,4,Seattle,76,1,40,98133,1140,0,1949,1985,1.5,2,1,0,4
245000,2,3,1920,9306,1,0,No View,3,Auburn,41,0,0,98001,1000,920,1984,0,1,3,1.75,0,3
549000,3,4,2910,6338,2,0,No View,3,Renton,17,0,0,98059,2910,0,2008,0,2,4,2.5,0,3
800000,3,3,3240,7857,2,0,No View,3,Sammamish,31,0,0,98075,3240,0,1994,0,2,3,2.5,0,3
249950,2,3,1550,15040,1,0,No View,4,Renton,67,1,53,98059,1550,0,1958,1972,1,3,2,0,4
210000,2,5,2050,10200,1,0,No View,3,Des Moines,69,1,24,98198,1430,620,1956,2001,1,5,2,0,3
1425000,3,2,2220,4000,2,0,No View,3,Seattle,25,0,0,98112,2220,0,2000,0,2,2,2.5,0,3
585000,1_or_fewer,2,1770,8640,1.5,0,No View,3,Seattle,76,1,27,98117,1520,250,1949,1998,1.5,2,1,0,3
615000,2,4,2300,11700,1,0,No View,4,Redmond,48,0,0,98052,1960,340,1977,0,1,4,1.75,0,4
618500,2,3,1800,5000,1,0,No View,4,Seattle,83,1,43,98115,1080,720,1942,1982,1,3,2,0,4
487585,2,4,2010,9211,1,0,No View,3,Kirkland,48,1,21,98034,1470,540,1977,2004,1,4,1.75,0,3
509900,3,3,1790,2700,2,0,No View,3,Issaquah,15,0,0,98027,1790,0,2010,0,2,3,2.5,0,3
631625,3,4,2440,6651,2,0,No View,3,Seattle,11,0,0,98117,2440,0,2014,0,2,4,2.5,0,3
555000,3,3,1940,3211,2,0,No View,3,Issaquah,16,0,0,98027,1940,0,2009,0,2,3,2.5,0,3
340000,2,2,1160,1438,2,0,No View,3,Seattle,24,0,0,98144,1160,0,2001,0,2,2,1.5,0,3
830000,3,4,3400,9692,2,0,No View,3,Redmond,18,0,0,98052,3400,0,2007,0,2,4,2.5,0,3
890000,5+,4,4420,5750,2,0,No View,3,Issaquah,19,0,0,98027,3410,1010,2006,0,2,4,4.25,0,3
366750,3,3,1571,2017,3,0,No View,3,Seattle,17,0,0,98125,1571,0,2008,0,3,3,3,0,3
415000,3,3,1620,998,3,0,No View,3,Issaquah,15,0,0,98029,1540,80,2010,0,2.5,3,2.25,0,3
416286,3,3,1408,989,3,0,No View,3,Seattle,20,0,0,98115,1408,0,2005,0,3,3,2.5,0,3
478000,3,3,3040,4535,2,0,No View,3,Renton,18,0,0,98056,3040,0,2007,0,2,3,2.5,0,3
890000,4,5,4490,6000,2,0,No View,3,Issaquah,19,0,0,98027,3200,1290,2006,0,2,5,3.5,0,3
419190,3,2,1590,1426,2,0,No View,3,Issaquah,11,0,0,98029,1590,0,2014,0,2,2,2.5,0,3
712198,3,4,2450,4247,2,0,No View,3,Redmond,12,1,102,98052,2450,0,2013,1923,2,4,2.5,0,3
397000,2,4,1440,7680,1,0,No View,3,Kirkland,54,0,0,98034,1200,240,1971,0,1,4,2,0,3
450000,2,2,1100,3000,1.5,0,No View,3,Seattle,113,1,20,98117,1100,0,1912,2005,1.5,2,2,0,3
353000,1_or_fewer,3,1350,7740,1,0,No View,4,Seattle,78,1,37,98125,860,490,1947,1988,1,3,1,0,4
609000,3,4,2150,37981,2,0,No View,3,Redmond,40,0,0,98052,2150,0,1985,0,2,4,2.5,0,3
234000,2,3,1490,8366,1,0,No View,4,Covington,50,0,0,98042,1010,480,1975,0,1,3,1.75,0,4
561000,2,3,2000,7000,2,0,No View,3,Seattle,109,1,39,98136,2000,0,1916,1986,2,3,2,0,3
469000,1_or_fewer,2,1030,4400,1,0,No View,3,Seattle,101,1,14,98117,1030,0,1924,2011,1,2,1,0,3
329350,1_or_fewer,2,720,6687,1,0,No View,3,Seattle,83,1,26,98117,720,0,1942,1999,1,2,1,0,3
488000,2,5,2020,5000,1.5,0,No View,4,Seattle,87,0,0,98117,2020,0,1938,0,1.5,5,2,0,4
279900,2,3,1580,8151,1,0,Some View,4,Des Moines,63,0,0,98198,1100,480,1962,0,1,3,1.75,1,4
606000,3,4,2110,13850,2,0,No View,3,Issaquah,38,1,25,98027,2110,0,1987,2000,2,4,2.5,0,3
312000,2,4,1300,7054,1,0,No View,3,Seattle,75,1,12,98146,1300,0,1950,2013,1,4,2,0,3
650000,2,3,1630,7475,1,0,Some View,3,Seattle,85,1,29,98115,1160,470,1940,1996,1,3,1.5,1,3
1135000,3,4,3370,8103,1,0,Great View,3,Seattle,55,1,11,98136,1970,1400,1970,2014,1,4,2.75,3,3
325000,3,4,1890,6156,1,0,No View,3,Seattle,45,0,0,98106,980,910,1980,0,1,4,2.5,0,3
425000,2,4,1520,7983,1,0,No View,5,Inglewood-Finn Hill,58,0,0,98034,1520,0,1967,0,1,4,2,0,5
219000,1_or_fewer,2,900,5160,1,0,No View,3,Seattle,73,1,17,98106,900,0,1952,2008,1,2,1,0,3
250000,1_or_fewer,3,1050,6874,1,0,No View,3,Shoreline,71,1,20,98133,1050,0,1954,2005,1,3,1,0,3
390000,2,3,1260,6500,1,0,No View,4,Bellevue,59,0,0,98008,1260,0,1966,0,1,3,1.75,0,4
475000,3,5,3470,117612,1.5,0,No View,3,Kenmore,101,1,14,98028,3470,0,1924,2011,1.5,6,3,0,3
736000,3,4,2290,12047,2,0,No View,4,Bellevue,37,0,0,98006,2290,0,1988,0,2,4,2.5,0,4
407000,3,4,2810,23400,1,0,Some View,3,Des Moines,67,1,21,98198,1710,1100,1958,2004,1,4,2.25,1,3
272000,3,3,1650,13816,2,0,No View,3,Carnation,27,1,19,98014,1650,0,1998,2006,2,3,2.5,0,3
362000,3,3,1640,14374,1,0,No View,4,Burien,62,0,0,98148,1140,500,1963,0,1,3,2.25,0,4
535000,3,3,1850,10109,2,0,No View,3,Kirkland,34,0,0,98034,1850,0,1991,0,2,3,2.5,0,3
284000,3,4,2000,5390,2,0,No View,3,Kent,22,0,0,98042,2000,0,2003,0,2,4,2.5,0,3
367500,2,3,1410,9647,1,0,No View,3,Shoreline,64,1,21,98177,1410,0,1961,2004,1,3,1.5,0,3
379900,2,4,1500,11600,1,0,No View,4,Kenmore,70,1,16,98028,1000,500,1955,2009,1,4,1.75,0,4
520000,3,3,2460,54885,2,0,No View,4,Renton,45,0,0,98059,2460,0,1980,0,2,3,2.5,0,4
175000,1_or_fewer,3,1010,7034,1,0,No View,3,Renton,71,1,20,98057,1010,0,1954,2005,1,3,1,0,3
460000,3,2,1230,929,2,0,No View,3,Seattle,21,1,22,98112,1020,210,2004,2003,2,2,2.25,0,3
345000,3,4,2331,3826,2,0,No View,3,Renton,18,0,0,98058,2331,0,2007,0,2,4,2.5,0,3
455000,3,5,2240,7770,1,0,No View,3,Kirkland,47,0,0,98034,1340,900,1978,0,1,5,2.5,0,3
610000,3,4,2450,10117,1,0,No View,5,Bellevue,58,0,0,98006,1580,870,1967,0,1,4,3,0,5
563000,3,4,3100,15480,2,0,No View,3,Kenmore,29,0,0,98028,2400,700,1996,0,2,4,3,0,3
612500,2,4,2060,5000,1,0,No View,3,Seattle,76,1,12,98117,1030,1030,1949,2013,1,4,2,0,3
218000,2,3,1850,7684,1,0,No View,3,Federal Way,46,1,11,98023,1320,530,1979,2014,1,3,1.75,0,3
404000,2,4,1840,10720,1,0,No View,3,Bellevue,67,1,21,98008,960,880,1958,2004,1,4,1.75,0,3
860000,2,4,3740,32417,2,0,No View,3,Redmond,25,0,0,98053,3740,0,2000,0,2,4,2,0,3
136500,2,3,1420,8580,1,0,No View,3,Federal Way,63,1,22,98023,1420,0,1962,2003,1,3,1.5,0,3
313950,1_or_fewer,3,1510,6083,1,0,No View,4,Seattle,85,1,24,98115,860,650,1940,2001,1,3,1,0,4
575000,2,3,2130,6500,1,0,Some View,3,Seattle,71,1,20,98199,1170,960,1954,2005,1,3,1.75,2,3
1225000,3,4,3490,6906,2,0,No View,4,Seattle,97,0,0,98199,2280,1210,1928,0,2,4,2.25,0,4
280000,2,3,1630,11800,1,0,No View,4,North Bend,54,0,0,98045,1630,0,1971,0,1,3,1.75,0,4
515000,3,3,1790,7167,2,0,No View,3,Sammamish,36,0,0,98074,1790,0,1989,0,2,3,2.5,0,3
513000,3,4,2000,5684,2,0,No View,3,Kenmore,29,0,0,98028,2000,0,1996,0,2,4,2.5,0,3
599000,3,4,2260,29930,2,0,No View,4,Bellevue,48,0,0,98006,1400,860,1977,0,2,4,2.25,0,4
685000,3,4,3030,7864,2,0,No View,3,Sammamish,26,0,0,98074,3030,0,1999,0,2,4,2.5,0,3
365000,2,3,1310,8160,1,0,No View,3,Seattle,75,1,20,98133,1310,0,1950,2005,1,3,1.5,0,3
762300,3,4,3880,14550,2,0,No View,3,Sammamish,38,1,25,98074,3880,0,1987,2000,2,4,2.5,0,3
1580000,4,4,3760,10920,1.5,0,No View,5,Seattle,75,0,0,98105,2400,1360,1950,0,1.5,4,3.25,0,5
562000,3,5,3040,8111,2,0,No View,3,Redmond,41,0,0,98052,3040,0,1984,0,2,5,2.25,0,3
530000,3,5,2910,9636,1,0,No View,4,Bellevue,61,0,0,98008,1690,1220,1964,0,1,5,2.5,0,4
525000,3,3,2970,11985,1,0,No View,3,Sammamish,30,0,0,98074,1770,1200,1995,0,1,3,2.5,0,3
484000,2,2,1660,6000,1,0,No View,3,Seattle,83,1,26,98105,1160,500,1942,1999,1,2,1.75,0,3
725126,3,4,3200,12369,2,0,No View,3,Newcastle,27,1,19,98059,3200,0,1998,2006,2,4,2.5,0,3
360000,2,4,2680,18768,1,0,No View,5,Auburn,60,0,0,98001,2680,0,1965,0,1,4,2,0,5
387000,1_or_fewer,3,1230,9568,1,0,No View,5,Newcastle,63,0,0,98056,1230,0,1962,0,1,3,1,0,5
483500,3,4,2740,45732,2,0,No View,3,Woodinville,30,0,0,98077,2740,0,1995,0,2,4,2.5,0,3
655500,4,4,3380,8330,2,0,No View,3,Shoreline,25,0,0,98177,3380,0,2000,0,2,4,3.5,0,3
345000,1_or_fewer,3,1110,6250,1,0,No View,3,Seattle,69,1,24,98115,1110,0,1956,2001,1,3,1,0,3
533000,3,5,1800,3780,1.5,0,No View,3,Seattle,99,1,22,98103,1400,400,1926,2003,1.5,5,2.75,0,3
385000,2,3,1900,5520,1,0,No View,3,Seattle,43,0,0,98118,1280,620,1982,0,1,3,1.75,0,3
675000,1_or_fewer,2,930,36478,1,0,Some View,3,Bellevue,74,1,31,98006,930,0,1951,1994,1,2,1,2,3
197000,2,3,1690,7735,1,0,No View,4,Auburn,49,1,33,98001,1060,630,1976,1992,1,3,1.75,0,4
485000,2,3,1420,4080,1.5,0,No View,3,Seattle,120,1,12,98103,1420,0,1905,2013,1.5,3,2,0,3
1870000,4,5,4510,15175,2,0,No View,3,Mercer Island,56,1,23,98040,4510,0,1969,2002,2,5,4,0,3
295000,3,3,1980,8000,1,0,No View,4,Federal Way,51,0,0,98023,1560,420,1974,0,1,3,2.25,0,4
499000,2,2,1170,2400,1,0,No View,4,Seattle,122,0,0,98103,740,430,1903,0,1,2,1.75,0,4
1050000,3,3,2200,1970,2,0,No View,3,Seattle,17,0,0,98102,1610,590,2008,0,2,3,2.5,0,3
191000,2,3,800,8850,1,0,No View,4,Federal Way,66,0,0,98023,800,0,1959,0,1,3,1.5,0,4
500000,3,3,1480,1171,3,0,No View,3,Seattle,19,0,0,98112,1480,0,2006,0,3,3,2.5,0,3
390000,4,5,2890,5000,1,0,No View,3,Seattle,19,0,0,98144,1310,1580,2006,0,1,5,3.75,0,3
979000,3,3,2690,4047,3,0,No View,3,Seattle,11,0,0,98117,2690,0,2014,0,3,3,2.5,0,3
580000,4,4,3569,8327,2,0,No View,3,Renton,12,1,102,98055,3569,0,2013,1923,2,4,3.25,0,3
369950,2,3,1270,1320,3,0,No View,3,Seattle,19,0,0,98103,1270,0,2006,0,3,3,2,0,3
1800000,5+,5,4490,10279,2,0,No View,3,Bellevue,12,1,102,98004,3930,560,2013,1923,2,5,5,0,3
776000,3,4,3040,6425,2,0,No View,3,Redmond,17,0,0,98052,3040,0,2008,0,2,4,2.5,0,3
519950,3,3,1170,1249,3,0,No View,3,Seattle,11,0,0,98107,1170,0,2014,0,3,3,2.25,0,3
